Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
Dancing On The Ceiling,Richard Rodgers,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Cm7,F7|Bb6,B07|Fmaj7/C,D7|Gm7,C7|Am7,D7'}, 'Endings': [{'Chords': 'Gm7,C7|F6,C7'}, {'Chords': 'Gm7,C7|F6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bb6|Eb7|Fmaj7|Cm7,F7|Bb6|Eb7|Am7,D7|Gm7,F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Cm7,F7|Bb6,B07|Fmaj7/C,D7|Gm7|C7|F6|Gm7,C7'}}]",F,1936
Danny Boy,Traditional,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'C|C,C7|F|F|C|Am7|Dm7|G7|C|C/E|F|D7/F#|C/G,Am|Dm7,G7|C|Dm7,G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C|Dm7,G7|C|Dm7,G7|Am|F,A7|Dm7|G7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'C,C7/E|F,F#07|C/G,Am|F,F#07|C,Am|Dm7,G7|C|Dm7,G7'}}]",,1910
Darn That Dream,Jimmy Van-Heusen,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'G6,,Bbm7,Eb7|Am7,B7#11|Em,Em/D,A7/C#,Cm7|Bm7b5,E7|Am7,F7|Bm7,Bbm7|Am7,D7'}, 'Endings': [{'Chords': 'Bm7,Bb7,Am7,D7'}, {'Chords': 'G6,,Fm7,Bb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebmaj7,Cm7|Fm7,Bb7|Gm7,,F#m7,B7|Fm7,Bb7|Ebmaj7,Cm7|Gm(Am7b5),,(D7),(Gm)|Am7,D7|Bbm7,Eb7,Am7,D7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'G6,,Bbm7,Eb7|Am7,B7#11|Em,Em/D,A7/C#,Cm7|Bm7b5,E7|Am7,F7|Bm7,Bbm7|Am7,D7|G6,,Am7,D7'}}]",G,1939
Dat Dere,Bobby Timmons,Slow Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cm7,Cm7/Bb|Am7b5,Abmaj7|Am7b5,D7#9|Dm7b5,G7b9|Cm7,Cm7/Bb|Am7b5,Abmaj7'}, 'Endings': [{'Chords': 'Dm7b5,G7b13|Cm7(Fm6),G7b13(Cm7)'}, {'Chords': 'Dm7b5,G7b13|Cm7(Fm6),(Cm7)'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7b5,G7,Cm7,Cm/Bb|Am7b5,D7,Gm7,|Am7b5,D7#9|Dm7b5,G7b9|Dm7b5,G7,Cm7,Cm/Bb|Am7b5,D7,Gm7,|Dm7b5,G7b13|Cm7(Fm6),G7b13(Cm7)'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7,Cm7/Bb|Am7b5,Abmaj7|Am7b5,D7#9|Dm7b5,G7b9|Cm7,Cm7/Bb|Am7b5,Abmaj7|Dm7b5,G7b13|Cm7(Fm6),G7b13(Cm7)'}}]",Cmin,1961
Day By Day,Cahn-Stordahl-Weston,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Am7|Am7(D7)|Am7(D7)|D7|Gmaj7|C7|Bm7|E9#5'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Am7|B7|Em7|A7|Em7|A7|Am7|Bm7,E9#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Am7|Am7(D7)|Am7(D7)|D7|Gmaj7|C7|Bm7b5|E7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Am7|Cm7,F7|Gmaj7,F7#11|E7|Am7|D7|Gmaj7|Bm7,E9#5'}}]",G,1938
Day Dream,Strayhorn-Ellington,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,F7/A|Bb7#5,A7b13|Dm7,F7/C|Bbm6,C7b13|Fm7,Fm7/Eb|Db7'}, 'Endings': [{'Chords': 'C7|G7,Gb7'}, {'Chords': 'Fmaj7|Cm7,F7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7,,Bm7,E7|Amaj7,,Bbm7,Eb7|Abmaj7,,Am7,D7|Gmaj7|Gm7,C7b9|Fmaj7,Ab7|G7|Gm7,C7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,F7/A|Bb7#5,A7b13|Dm7,F7/C|Bbm6,C7b13|Fm7,Fm7/Eb|Db7,C7|Fmaj7|Fmaj7'}}]",F,1941
Day Dreaming,Jerome Kern,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7,Cm7|Dm7,C#07|Cm7,D07|Cm7,F7#9|Bbmaj7,Ebmaj7|D7#11,Ab9|G7b9|Cm7,F7'}}, {'Label': 'B', 'MainSegment': {'Chords': ''}, 'Endings': [{'Chords': 'Bbmaj7,Bb7/Ab|Gm7,Gm7/F|Em7b5|Eb7,D7#5|Gm7,Gm7/F|Em7b5,Eb9|Dm7,C#07|Cm7,F7sus'}, {'Chords': 'Bbmaj7,Bb7/Ab|Gm7,Fm7|Em7b5|Ebm6,Ab9|Dm7,G7|E7/F,F13|Bb69|Cm7,F7sus'}]}]",Bb,1965
"Day In, Day Out",Rube Bloom,Medium Swing,4/4,"[{'MainSegment': {'Chords': 'C6|C6|Dm7|G7|C6,Dm7|D#07,C6/E'}, 'Endings': [{'Chords': 'Em7|Eb07|Dm6|G7|Dm7|G7|Dm7|G7|Em7,A7b9|Dm7,G7'}, {'Chords': 'Cm7|F7|Gmaj7|Ab7|Gmaj7|Ab7|Gmaj7|Em7,Ebm7|Dm7|G7'}, {'Chords': 'Bb7|A7'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'D7/F#|Fm6|Em7|A7|D7|G7|Cmaj7,F7|Em7,A7|D7/F#|Fm6|Em7|A7b9|Dm7|G7|C6,A7#5|Dm7,G7#5'}}]",,1947
Day Waves,Chick Corea,Latin,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm7|Bb|Gm6|Em7,Fmaj7#11|G7,Am|Dm7|E7#9|F|F#m7b5|G7sus|G7sus|Eb7#11/G|Eb7#11/G'}}, {'Label': 'B', 'MainSegment': {'Chords': 'F#m7b5|Fm/maj7|C/E|B7/D#|G/D|A/C#|F/C|Ab7sus|Ab7,Bbm|Bbm|E0,Ebmaj7|E0,Ebmaj7'}}]",Dmin,na
Daybreak,Adamson-Grofe,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Bb7|Ebmaj7|C7|Fm7|Bb7|Abmaj7|B7,Bb7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebmaj7|Ebm7,Ab7|Bbmaj7/F|Em7,A7|Cm7|F7|Fm7|Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Bb7|Ebmaj7|C7|Fm7|Bb7|Abmaj7|B7,Bb7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bbm7|Eb7|Abmaj7|Db7|Gm7,C7|Fm7,Bb7|Eb6|Fm7,Bb7'}}]",Eb,1946
Days And Nights Waiting,Keith Jarrett,Even 8ths,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Cm7|F7|Bbmaj7|A7|F#m7|Bm7|Em7,A7|Dmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7|F7|Ebm7|Ab7|Cm7|F7|Dm7,G7|Dbm7,Gb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7|F7|Bbmaj7|A7|F#m7|Bm7|Em7,A7|Dmaj7'}}]",D,1974
Days Of Wine And Roses,Henry Mancini,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Eb7#11|Am7(D7)|D7b13|Gm7|Gm7|Eb7#11|Eb7#11'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Am7|Dm7|Gm7|Gm7/F|Em7b5,A7b9|Dm7,G7|Gm7|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Eb7#11|Am7(D7)|D7b13|Gm7|Gm7|Eb9|Eb9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Am7|Dm7,Dm7/C|Bm7b5|E7b9|Am7,Dm7|Gm7,C7|F6|Gm7,C7'}}]",F,1962
Dear Lord,John Coltrane,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dmaj7|Dmaj7|Dmaj7|Dmaj7|Em7|Em7|Em7|Em7|Dmaj7|Dmaj7|Dmaj7|Dmaj7|Bm|Bm/maj7|Bm7|Bm6|Bm|Bm/maj7|Bm7|Bm6|Em7|Em7|A7sus|A7sus|A7sus|A7sus|A7#5|A7#5|Dmaj7|Bm7|Em7|A7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dmaj7|Dmaj7|Dmaj7|Dmaj7|Em7|Em7|Em7|Em7|Dmaj7|Dmaj7|Dmaj7|Dmaj7|Gmaj7|Gmaj7|Gmaj7|Gmaj7|Gmaj7|Gmaj7|Gmaj7|Gmaj7|F#m7|F#m7|Gmaj7|Gmaj7|Em7|F#m7|Gmaj7|A7sus|Bbmaj7|Bbmaj7|Dmaj7|Dmaj7'}}]",D,1968
Dear Old Stockholm,Traditional,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Dm|Em7b5,A7b9|Gm7,C7|Fmaj7|Em7b5,A7b9|Dm|Em7b5|A7b9|Dm7|Dm6|Dm7|Dm6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|Gm7,C7|Fmaj7|Em7b5,A7b9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Dm|Em7b5,A7b9|Gm7,C7|Fmaj7|Em7b5,A7b9|Dm|C7sus|C7sus|C7sus|C7sus|C7sus|C7sus|C7sus,A7b9|Dm|Dm'}}]",Dmin,1954
Dearly Beloved,Jerome Kern,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C6|Am7|Dm7|G7|Em7|Am7|Ebm7,Ab7|Ebm7,Ab7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'C6|Am7|D7|D7|Dm7|G7|C6|Em7,A7'}}]",,1942
Decision,Sonny Rollins,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm6|Gm7b5,C7b9|Fm6|Cm7b5,F7b9|Bbm7|Bbm7|Cm7b5,F7b9|Bbm7|Gm7b5,C7b9|Fm6|Gm7b5,C7b9|Fm6|Gm7b5,C7b9'}}]",Fmin,1957
Dedicated To You,Cahn-Chaplin-Zaret,Ballad,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7|Eb7(Em7),(A7)|Bbmaj7|Dm7,G7|Cm7b5(Ebm7),F7b9(Ab7)|Bbmaj7,,Am7,D7'}, 'Endings': [{'Chords': 'Gm7,C7|Cm7,,F7#5(F#m7),(B7)'}, {'Chords': 'Gm7,C7,Cm7,F7|Bb6,,Em7,A7'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Dmaj7|Bm7,E7b9|Em7,A7|Dmaj7,,Gm7,C7|Fmaj7,D7b9|Gm7,C7b9|Cm7|F7#5(F#m7),(B7)'}}, {'MainSegment': {'Chords': 'Bbmaj7|Eb7(Em7),(A7)|Bbmaj7|Dm7,G7|Cm7b5(Ebm7),F7b9(Ab7)|Bbmaj7,,Am7,D7|Gm7,C7,Cm7,F7|Bb6,,Cm7,F7'}}]",Bb,1946
Deed I Do,Hirsch-Rose,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'C6|Gm7,C7|Fmaj7|Bb7|Em7,A7|Dm7,G7'}, 'Endings': [{'Chords': 'C6,Am7|Dm7,G7'}, {'Chords': 'C6|Gm7,C7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7|Bm7|E7|A7|A7|D7|Dm7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C6|Gm7,C7|Fmaj7|Bb7|Em7,A7|Dm7,G7|C6|Dm7,G7'}}]",,1927
Deep Purple,Peter De-Rose,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|F#07|Gm7|C7|Fmaj7|Am7b5|D7,Em7|F07,D7/F#|Gm7|Bbm6|Am7|Ab07|Gm7|C7|Fmaj7,D7|Gm7,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|F#07|Gm7|C7|Fmaj7|Am7b5|D7,Em7|F07,D7/F#|Gm7|Bbm6|Am7|Ab07|Gm7|C7|F6,D7|Gm7,C7'}}]",F,1929
Del Sasser,Sam Jones,Medium Up Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Fm7|Bb7|Ebmaj7|Ebmaj7|Fm7|Bb7|Ebmaj7|Ebmaj7|Ebmaj7,Ebmaj7/D|Cm7,Cm7/Bb|Am7b5|Abm/maj7|Gm7,C7|Fm7,Bb7|Eb6|Eb6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7|Eb7|Abmaj7|Abmaj7|Bbm7|Eb7|Abmaj7|Abmaj7|Gm7|C7|Fmaj7|Fmaj7|Fm7|Bb7|Gm7|C7'}}]",Eb,1961
Desafinado,Antonio-Carlos Jobim,Bossa Nova,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7|G7#11|G7#11|Gm7|C7|Am7b5|D7b9|Gm7|A7b9|D7|D7b9|G7b9|G7b9|Gbmaj7|Gbmaj7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7|G7#11|G7#11|Gm7|C7|Am7b5|D7b9|Gm7|Bbm6|Fmaj7|E7#9|Amaj7|Bb07|Bm7|E7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Amaj7|Bb07|Bm7|E7|Amaj7|F#m7|Bm7|E7|Cmaj7|C#07|Dm7|G7|Gm7|Ebm6|G7|C7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7|G7#11|G7#11|Gm7|C7|Am7b5|D7b9|Gm7|Bbm6|Fmaj7|Dm7|G7|G7|Eb7|Eb7|G7|Gm7,C7|F6|C7'}}]",F,1958
Desafinado (Original),Antonio-Carlos Jobim,Bossa Nova,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Emaj7|Emaj7|F#7#11|F#7#11|F#m7|B7|G#m7b5|C#7b9|F#m7|G#7b9|C#7|C#7b9|F#7b9|F#7b9|Fmaj7|Fmaj7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Emaj7|Emaj7|F#7#11|F#7#11|F#m7|B7|G#m7b5|C#7b9|F#m7|G#7b9|C#m7|D#7#9|G#maj7|G7|F#7|F7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'G#maj7|A07|A#m7|D#7|G#maj7|G#m7|A#m7|D#7|Bmaj7|C07|C#m7|F#7|F#m7|Dm6|F#7/C#|B7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Emaj7|Emaj7|F#7#11|F#7#11|F#m7|B7|G#m7b5|C#7b9|Amaj7|Am6|Emaj7/G#|C#m7|F#7|F#7|Fmaj7|Fmaj7|F#7|F#m,B7|E6|B7'}}]",E,1958
Detour Ahead,Herb Ellis,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,F#7b9|B7alt|F,Em7,Am7,|D7,,Dm7,G7|Gm7,C7|Fmaj7,Bb7|Cmaj7,Am7'}, 'Endings': [{'Chords': 'Ab7,G7'}, {'Chords': 'F#m7b5,B7b9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Em|B7alt|Emaj7|F#m7b5,B7b9|Em|B7alt|Emaj7|Db7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,F#7b9|B7alt|F,Em7,Am7,|D7,,Dm7,G7|Gm7,C7|Fmaj7,Bb7|Cmaj7,E7#9|Am7,Eb7|D7,G7|Cmaj7,G7#5'}}]",,1949
Devil May Care,Dorough-Kirk,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm,Em7b5|Am7b5,D7b9|Gm,Em7b5|Am7b5,D7b9|Gm|Em7b5|Eb7#11|D7b9|Gm,Em7b5|Am7b5,D7b9|Gm,Gm7/F|E07,Bb07|Am7b5|D7b9#5|Gm|Gm,Db9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7|F7|Bbmaj7,Eb7#11|Dm7,G7|Cm7|F7|Bbmaj7|Bbmaj7|Bbm7|Eb7|Abmaj7|Abmaj7|Am7b5|D7b9|Gmaj7|Eb7,D7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Gm,Em7b5|Am7b5,D7b9|Gm,Em7b5|Am7b5,D7b9|Gm,Gm7/F|Em7b5|Eb7#11|Eb7#11|Am7b5|D7b5#9|Gm,(Em7b5)|Gm(A7b9),(D7b9)'}}]",Gmin,1956
Dewey Square,Charlie Parker,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Abm7|Eb7,Db7|C7|F7|Fm7,Bb7'}, 'Endings': [{'Chords': 'Ebmaj7,C7|Fm7,Bb7'}, {'Chords': 'Ebmaj7|Bbm7,Eb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7|Abm7,Db7|Ebmaj7|C7|F7|F7|Fm7|Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Abm7|Eb7,Db7|C7|F7|Fm7,Bb7|Ebmaj7,C7|Fm7,Bb7'}}]",Eb,1947
Dexterity,Charlie Parker,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Ebmaj7,Ab7'}, 'Endings': [{'Chords': 'Dm7,G7|Cm7,F7'}, {'Chords': 'Cm7,F7|Bb6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'D7|D7|G7|G7|C7|C7|F7|F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Ebmaj7,Ab7|Cm7,F7|Bb6'}}]",Bb,1947
Diane,Rapee-pollack,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm7|Bb7|Ebmaj7,Ebmaj7/D|Cm7|Fm7|Bb7|Ebmaj7,Ab7|Gm7,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Bb7|Am7b5|D7b13|Gmaj7|Am7,D7|Gmaj7,C7|Fm7,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fm7|Bb7|Ebmaj7,Ebmaj7/D|Cm7|Fm7|Bb7|Ebmaj7,Ab7|Gm7,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Bb7|Am7b5|D7b13|Gm7,C7|Fm7,Bb7|Eb6|Eb6'}}]",Eb,1939
Dienda,Kenny Kirkland,Waltz,3/4,"[{'Label': 'i', 'MainSegment': {'Chords': 'Gm11,Fadd9/A|Gbmaj7#11|Gm11,Fadd9/A|F/Db|F/Db'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F/G|F/Db,Bbm/Db|Dm9|G13#11|Gbmaj9#11|Fm11|Cadd9/E|F/Eb|Dm11|Bbmaj7/D|A9sus|Fm9/Bb,Bb/Gb|Bb/Gb|Fm9,Fm9/Eb|Dm7b5|E/C,C6|C7alt'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm9|Db13#11|Dm9|Dm9/C|Gb/Bb,Bbm|Fm11/Ab|Gm11|Gbmaj7#11|Bbmaj7#5/A|Bbmaj7#11/D|C/Ab|Dbmaj7|Gm11,Fadd9/A|Gbmaj7#11|Gm11,Fadd9/A|F/Db|F/Db'}}, {'Repeats': 1, 'MainSegment': {'Chords': 'Gm11,Fadd9/A|Gbmaj7#11|Gm11,Fadd9/A|F/Db'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F/Db'}}]",,1974
Dig,Miles Davis,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F7|F7|F7|F7|Bb7|Bb7|Bb7|Bb7'}, 'Endings': [{'Chords': 'Eb7|Eb7|Eb7|Eb7|Abmaj7|Bbm7,Eb7|Abmaj7|Gm7b5,C7b9'}, {'Chords': 'Fm|Gm7b5,C7b9|Fm|Bbm7,Eb7|Ab7,G7|Gb7,F7|Bb7,Eb7|Ab6'}]}]",Ab,1954
Dinah,Harry Akst,Medium Up Swing,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Gmaj7,Em7|Am7,D7|Gmaj7,Cmaj7|G/B,Em7|Am7|D7'}, 'Endings': [{'Chords': 'G6,Bb07|Am7,D7'}, {'Chords': 'G6|F#m7b5,B7b9'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Em|Em/D#|Em/D|A7/C#|Em7|A7|Am7|D7'}}, {'Label': 'v', 'MainSegment': {'Chords': 'Gmaj7,Em7|Am7,D7|Gmaj7,Cmaj7|G/B,Em7|Am7|D7|G6|Am7,D7'}}]",G,1913
Dindi,Antonio-Carlos Jobim,Bossa Nova,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Ebmaj7|Dbmaj7|Ebmaj7|Dbmaj7|Cmaj7|Am9|Dm9|G13'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebmaj7|Dbmaj7|Ebmaj7|Bbm7,Eb7|Abmaj7|Abm/maj7'}, 'Endings': [{'Chords': 'Eb6|Bbm7'}, {'Chords': 'Eb6|Am7b5,D7b9'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm|Ebm6|Gm,Ebm6|Gm7,C7b9|Fm|C#m6|Fm,C#m6|Fm7,Bb7b9'}}, {'MainSegment': {'Chords': 'Ebmaj7|Dbmaj7|Ebmaj7|Bbm7,Eb7|Abmaj7|Abm/maj7|Eb6|Db7'}}]",Eb,1961
Diverse,Charlie Parker,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9'}, 'Endings': [{'Chords': 'Bbm6|Cm7b5,F7b9'}]}, {'MainSegment': {'Chords': 'Bbm6|Bbm6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7b5|Bb7b9|Ebm7|Ebm7|Em7b5|Ab7b9|Dbmaj7|Cm7b5,F7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9'}}]",Bbmin,1957
Django,John Lewis,Medium Swing,4/4,"[{'Label': 'v', 'MainSegment': {'Chords': 'Fm|Bbm|C7b9|Fm|F7b9|Bbm|Eb7b9|Ab6|Dbmaj7|Gm7b5|G7b9/F|C7b13/E'}}, {'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Fm|Bbm|C7b9|Fm'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7,Dm7b5|G7b9,C7b9|F7b9,Bbm7|Eb7,Ab7'}, 'Endings': [{'Chords': 'Db7,G7b9|C7b9'}, {'Chords': 'Db7,C7b9|Fm6'}]}, {'Label': 'C', 'MainSegment': {'Chords': 'F7b9|Bbm6/F|F7b9|Bbm6/F|F7b9|Bbm6/F|F7b9,Bb07/F|F7b9'}}, {'MainSegment': {'Chords': 'Bbm7,Gm7b5|C7b9,F7b9|Bb7,Ebm7|Ab7,Db7|Gb7|Gb7|Db7|Db7|Gb7|Gb7|Db7|C7b9'}}]",Fmin,1951
Do It Again,Gershwin-De Sylva,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F6|F6|F6|F6|F6,Faug|F,Dm|G7|G7'}}, {'Label': 'B', 'MainSegment': {'Chords': ''}, 'Endings': [{'Chords': 'C7,D7|Gm7,C7|Bb,,F,Cm6/Eb|D7|G7|G7|C7|C7'}, {'Chords': 'C7,D7|Gm7,Am7b5|D7|D7|G7|Gm7b5,C7|F6|Gm7,C7'}]}]",F,1935
Do Nothin' Til You Hear From Me,Duke Ellington,Medium Swing,4/4,"[{'MainSegment': {'Chords': 'Bbmaj7|Fm7,Bb7|Ebmaj7|Ebm7,Ab7#11|Bbmaj7,G7#5|C7,F7'}, 'Endings': [{'Chords': 'Bbmaj7|Cm7,F7'}, {'Chords': 'Bb6|Abm7,Db7'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Gbmaj7|Gbmaj7|Gbmaj7|Gb7|Bbmaj7|Dm7,G7|C7|F7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7|Fm7,Bb7|Ebmaj7|Ebm7,Ab7#11|Bbmaj7,G7#5|C7,F7|Bb6|Cm7,F7'}}]",Bb,1940
Do You Know What It Means?,Louis Alter,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,G7#5|Cmaj7,Am7|Em7,Am7|D7|F6,F#07|C6/G,A7b9'}, 'Endings': [{'Chords': 'Dm7,Ab7|G7'}, {'Chords': 'Dm7,G7|C6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7,Eb7|Ab6,A07|Bbm7,Eb7|Ab6|Am7,D7|Gmaj7,Em7|Am7,D7|Dm7,G7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,G7#5|Cmaj7,Am7|Em7,Am7|D7|F6,F#07|C6/G,A7b9|Dm7,G7|C6'}}]",,1939
Dolores,Wayne Shorter,Up Tempo Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Dm7|Fm7,Bb7|Ebmaj7|Am7,D7|Gm7|Am7b5,D7#9|Dbmaj7|Dbmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gm7|Gm7,D7|Gm7|Gm7,D7|Gm7|A7'}}, {'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Dm7|Fm7,Bb7|Ebmaj7|Am7,D7|Gm7|Am7b5,D7#9|Dbmaj7|Dbmaj7'}}]",Db,1959
Dolphin Dance,Herbie Hancock,Medium Swing,4/4,"[{'Label': 'i', 'MainSegment': {'Chords': 'Ebmaj7|Dbmaj7/Eb|Ebmaj7|Dm7b5,G7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7|Abmaj7#11|Cm7|Am7,D7|Gmaj7|Abm7|Fm7|Fm7,G7#5|Cm7|Cm7|Am7|D7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gmaj7|G7sus|A/G|Ebmaj7#11/G|F7sus|D/F|F7sus|Em7,A7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Eb7|Am7,D7|Bm7|E7,Dm7|C#m7|F#7'}}, {'Label': 'D', 'MainSegment': {'Chords': 'Dmaj7/E|Cmaj7/E|Dmaj7/E|Cmaj7/E|Dbmaj7/Eb|Bb13b9/Eb|Abmaj7#5/Eb|G7#5'}}]",Eb,1965
